Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
360 ONE Balanced Hybrid Fund-Reg(G),Mayur Patel,HY-EQ,Unrated,860.1,1.94,Open Ended,25-Sep-23,NIFTY 50 Hybrid Composite Debt 50:50 Index,12.45,12.57,10.62,0.09,-1.45,1.83,16.18,-,-,-,-,53,53,104021,22.23,6.91,13.13,Financials,2.93,-,7.39,8.27,1.58,2.28,1.2,7.5,Hybrid : Equity Oriented,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
360 ONE Dynamic Bond Fund-Reg(G),Milan Mody,DT-DYN,2,737.5,0.52,Open Ended,24-Jun-13,CRISIL Dynamic Bond Index,21.5,21.5,19.61,0.56,1.18,4.7,9.62,8.13,6.6,6.7,6.82,0,1,-,-,-,-,-,6.85,-,7.35,3.5,3.72,6.7,0.64,1.45,Debt : Dynamic Bond,Nil
360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(G),Parijat Garg,EQ-ELSS,Unrated,75.8,0.52,Open Ended,28-Dec-22,NIFTY 50 - TRI,13.45,14.56,11.74,-1.64,-7.88,-1.39,9.91,15.78,-,-,-,3,50,555860,97.98,1.24,-,Financials,-,-,-,1.51,0.47,0.71,0.99,13.9,Equity : Tax Saving (ELSS),Nil
360 ONE Flexicap Fund-Reg(G),Mayur Patel,EQ-FLEX,Unrated,1254.2,2.08,Open Ended,30-Jun-23,BSE 500 - TRI,15.33,16.1,11.82,-0.61,-5.71,0.43,27.02,-,-,-,-,27,53,96024,48.74,17.75,28.15,Financials,-,-,-,16.98,1.4,2.02,0.92,15.45,Equity : Flexi Cap,1% on or before 365D Nil after 365D
360 ONE Focused Equity Fund-Reg(G),Mayur Patel,EQ-MLC,4,7305,1.78,Open Ended,30-Oct-14,BSE 500 - TRI,46.19,50.23,39,-2.79,-8.69,-4.21,14.9,22.71,14.5,20.21,15.71,43,31,179687,67.69,10.53,17.9,Financials,-,-,-,6.25,0.71,1,1.02,16.03,Equity : Multi Cap,1% on or before 12M
360 ONE Liquid Fund-Reg(G),Milan Mody,DT-LIQ,1,772.9,0.25,Open Ended,13-Nov-13,CRISIL Liquid Debt Index,1945.6,1945.6,1815.46,0.58,1.71,3.47,7.19,7.04,6.27,5.03,5.9,0,-,-,-,-,-,-,0.14,-,6.99,1.61,10.39,12.82,-,0.16,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
360 ONE Quant Fund-Reg(G),Parijat Garg,EQ-THEM,Unrated,604.7,1.83,Open Ended,29-Nov-21,BSE 200 - TRI,18.69,20.71,15,-1.03,-9.99,-2.28,21.82,33.9,22.83,-,-,94,35,123986,60.76,37.72,-,Financials,-,-,-,12.78,0.96,1.37,1.1,19.17,Equity : Thematic,1% on or before 12M Nil after 12M
Aditya Birla SL Active Debt Multi-Mgr FoF(G),Kaustubh Gupta,FOF-DOM,Unrated,10.3,0.54,Open Ended,28-Dec-06,CRISIL Composite Bond Index,35.85,35.94,33.24,0.43,1.13,3.91,7.84,7.32,5.87,6.21,6.77,-,-,-,-,-,-,-,-,-,-,2.6,2.17,3.78,0.4,1.74,FoFs : Domestic,0.25% on or before 15D Nil after 15D
Aditya Birla SL Arbitrage Fund(G),Lovelish Solanki,HY-ARB,3,13843.7,1.01,Open Ended,24-Jul-09,Nifty 50 Arbitrage - TRI,25.69,25.69,23.92,0.66,1.83,3.45,7.45,7.32,6.24,5.31,5.84,1402,191,205260,51.67,15.08,3.69,Financials,1.02,0.66,7.5,3.53,3.35,7.38,-0.08,0.99,Hybrid : Arbitrage,0.25% on or before 15D Nil after 15D
Aditya Birla SL Asset Allocator FoF(G),Vinod Narayan Bhat,FOF-DOM,Unrated,187.4,1.25,Open Ended,17-Aug-06,CRISIL Hybrid 50+50 - Moderate Index,63.05,65.76,53.88,0.06,-3.86,1.62,16.57,19.86,13.36,16.02,11.93,-,-,-,-,-,-,-,-,-,-,7.41,1.1,1.54,1.81,11.67,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Bal Bhavishya Yojna-Reg(G),Chanchal Khandelwal,HY-SOL,2,1087.2,2.15,Open Ended,11-Feb-19,NIFTY 500 - TRI,19.68,20.94,16.55,-0.1,-6.77,-0.05,14.7,19.26,12.6,12.69,-,58,63,121321,55.89,11.69,30.7,Financials,-,-,-,4.89,0.72,1.01,2.23,15.85,Hybrid : Solution Oriented,Nil
Aditya Birla SL Balanced Advantage Fund(G),Harish krishnan,HY-DYN,4,7400.2,1.8,Open Ended,25-Apr-00,CRISIL Hybrid 50+50 - Moderate Index,100.81,104.73,87.71,-0.53,-4.05,1.68,13.1,15.08,11.42,12.44,10.5,278,98,211944,51.92,11.13,3.84,Financials,3.73,2.87,7.41,5.17,1.12,1.66,1.23,7.84,Hybrid : Dynamic Asset Allocation,0.25% on or before 7D Nil after 7D
Aditya Birla SL Banking & Financial Services Fund-Reg(G),Dhaval Gala,EQ-FIN,4,3269.7,1.99,Open Ended,14-Dec-13,Nifty Financial Services - TRI,56.09,60.25,48.89,-1.97,-6.47,-2.88,9.31,15.98,14.66,12.03,12.76,20,34,226190,65.94,11.52,19.26,Financials,-,-,-,1.23,0.39,0.56,1.03,16.42,Equity : Sectoral - Financial Services,1% on or before 30D Nil after 30D
Aditya Birla SL Banking & PSU Debt(G),Kaustubh Gupta,DT-B&PSU,4,9482.9,0.73,Open Ended,05-May-08,NIFTY Banking and PSU Debt Index,350.92,350.92,325.39,0.55,1.45,3.97,7.84,7.33,6.1,6.51,7.54,0,-,-,-,-,-,-,4.46,3.3,7.41,2.65,5.12,9.72,0.37,0.73,Debt : Banking & PSU,Nil
Aditya Birla SL BSE India Infrastructure Index Fund-Reg(G),Priya Sridhar,EQ-INFRA,Unrated,-,-,Open Ended,04-Dec-24,BSE India Infrastructure Index - TRI,9.59,10.19,9.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity : Sectoral - Infrastructure,0.05% on or before 30D Nil after 30D
Aditya Birla SL BSE Sensex ETF,Priya Sridhar,EQ-ETF,Unrated,331.9,0.08,Open Ended,18-Jul-16,BSE SENSEX - TRI,79.07,84.76,68.87,-1.64,-6.69,-0.82,9.8,15.66,12.43,15.19,-,-,30,684548,99.14,0.72,-,Financials,-,-,-,1.39,0.46,0.71,1,13.89,Equity : ETFs,null
Aditya Birla SL Business Cycle Fund-Reg(G),Harish krishnan,EQ-THEM,Unrated,1823.2,2.1,Open Ended,03-Dec-21,BSE 500 - TRI,14.97,15.99,12.45,0.2,-5.91,1.56,19.19,19.15,14.25,-,-,-,70,132232,55.93,17.75,23.6,Financials,-,-,-,10.21,1.07,1.6,0.92,13.92,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Conglomerate Fund-Reg(G),Harish krishnan,EQ-THEM,Unrated,-,-,Open Ended,27-Dec-24,BSE Select Business Groups Index - TRI,10.05,10.05,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity : Thematic,0.50% on or before 90D Nil after 90D
Aditya Birla SL Corp Bond Fund(G),Kaustubh Gupta,DT-CORP,5,24978.5,0.52,Open Ended,03-Mar-97,NIFTY Corporate Bond Index,108.03,108.04,99.52,0.53,1.5,4.27,8.53,7.86,6.6,7.09,7.77,0,-,-,-,-,-,-,5.37,3.74,7.51,2.97,4.9,9.41,0.47,0.89,Debt : Corporate Bond,Nil
Aditya Birla SL Credit Risk Fund-Reg(G),Sunaina da Cunha,DT-CR,3,917.8,1.54,Open Ended,22-Apr-15,CRISIL Credit Risk Debt Index,20.57,20.57,18.35,0.47,4.19,7.18,11.98,9.43,8.65,8.32,-,0,1,-,-,-,-,-,3.03,2.14,8.28,6.48,2.63,15.65,0.4,2.91,Debt : Credit Risk,Nil upto 15% of units For remaining units 3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
Aditya Birla SL CRISIL 10 Year Gilt ETF,Bhupesh Bameta,DT-ETF,Unrated,17.8,0.1,Open Ended,13-Aug-24,Crisil 10 Yr Gilt Index,102.98,103.22,100,0.32,1.05,-,-,-,-,-,-,0,-,-,-,-,-,-,9.03,6.49,6.89,-,-,-,-,-,Debt : ETFs,null
Aditya Birla SL CRISIL Broad Based Gilt ETF,Kaustubh Gupta,DT-ETF,Unrated,43.6,0.19,Open Ended,05-Jul-24,CRISIL Broad Based Gilt Index,104.32,104.44,100,0.39,0.77,-,-,-,-,-,-,0,-,-,-,-,-,-,12.06,6.91,6.94,-,-,-,-,-,Debt : ETFs,null
Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,Unrated,397.8,0.35,Open Ended,13-Oct-22,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,11.89,11.89,10.99,0.5,1.4,4.08,8.09,7.9,-,-,-,0,-,-,-,-,-,-,3.22,2.79,6.96,2.72,4.47,9.85,0.4,0.87,Debt : Medium to Long Duration,Nil
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund-Reg(G),Mohit Sharma,DT-MD,Unrated,168.1,0.35,Open Ended,30-Mar-22,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2025,11.63,11.63,10.84,0.57,1.63,3.48,7.29,7.1,-,-,-,0,-,-,-,-,-,-,0.32,0.29,7.03,3.05,9.83,19.98,0.05,0.33,Debt : Medium Duration,Nil
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,Unrated,1685.1,0.4,Open Ended,29-Mar-22,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2027,11.66,11.66,10.83,0.55,1.56,3.79,7.79,7.3,-,-,-,0,-,-,-,-,-,-,2.03,1.8,7.2,2.97,6.56,14.95,0.23,0.55,Debt : Medium to Long Duration,Nil
